# FileEntropyAnalyzer Baselines
# extension,mean,stddev,samples
.a,5.05782,0.111939,10
.bat,5.15259,2.64953e-06,2
.bin,4.81856,3.6866,3
.build,4.82419,0.0877125,5
.c,5.03982,0.181397,27
.code-workspace,4.35941,0,1
.conf,4.56276,0,1
.cpp,5.0091,0.182873,17
.crypted,7.99909,9.78453e-07,2
.csv,4.85465,0,1
.d,4.52863,0.0167935,63
.dblite,5.84932,0,1
.elf,6.5841,0,1
.enc,7.99715,0.00101345,4
.erb,5.04055,0,1
.h,4.99741,0.190925,22
.html,5.28527,0,1
.ini,5.012,0.189623,4
.ino,5.11681,0.181518,26
.js,4.67609,0,1
.json,4.57928,0.136727,9
.locked,7.99768,3.58691e-07,2
.map,4.76398,0,1
.md,4.79293,0.318097,21
.o,4.70977,0.466165,76
.pdf,6.2917,0,4
.pem,6.00289,0,1
.properties,4.79403,0.153081,5
.py,4.88509,0.251642,36
.rb,4.76572,0.20189,11
.section,4.40276,0.308729,24
.sh,4.90652,0.173623,3
.txt,4.73193,0.541629,19
.yaml,4.603,0.0731675,3
.yml,4.73086,0.381932,8
[no-ext],4.73224,0.412895,16
# Stats: analyzed=13,high_entropy=4
